id,date,state,city_county,address,killed,injured,Operations,full_address,lon,lat,census_block
121613,2014-04-03T00:00:00Z,Delaware,Wilmington,Elm and South Harrison,1,0,N/A,"Elm and South Harrison,Wilmington,Delaware",-75.56569089999999,39.7412155,100030026003012
121619,2014-04-03T00:00:00Z,Delaware,Dover,100 block of Spruance Road,0,1,N/A,"100 block of Spruance Road,Dover,Delaware",-75.50959879999999,39.1690248,100010410001024
123307,2014-04-08T00:00:00Z,Delaware,Wilmington Manor,1600 New Jersey Avenue,0,2,N/A,"1600 New Jersey Avenue,Wilmington Manor,Delaware",-75.58216279999999,39.6933038,100030152001009
123969,2014-04-08T00:00:00Z,Delaware,Newark,S Chapel Street,0,0,N/A,"S Chapel Street,Newark,Delaware",-75.7443401,39.6787033,100030145021022
123983,2014-04-08T00:00:00Z,Delaware,New Castle,1627 New Jersey Ave,0,3,N/A,"1627 New Jersey Ave,New Castle,Delaware",-75.5811137,39.6936295,100030152001007
127165,2014-04-09T00:00:00Z,Delaware,Milford,100 block of Montgomery Street,0,1,N/A,"100 block of Montgomery Street,Milford,Delaware",-75.4259288,38.9123083,100050501043021
127225,2014-04-11T00:00:00Z,Delaware,Claymont,Everett Ave,0,1,N/A,"Everett Ave,Claymont,Delaware",-75.45308039999999,39.8076342,100030101051018
125876,2014-04-13T00:00:00Z,Delaware,Wilmington,West 25th and Washington,0,1,N/A,"West 25th and Washington,Wilmington,Delaware",-75.53897649999999,39.7568542,100030003002012
125874,2014-04-14T00:00:00Z,Delaware,Wilmington,W. 2nd and N. Van Buren streets,0,1,N/A,"W. 2nd and N. Van Buren streets,Wilmington,Delaware",-75.5630138,39.7430963,100030022002002
127169,2014-04-18T00:00:00Z,Delaware,Wilmington,400 block of W 31st Street,0,1,N/A,"400 block of W 31st Street,Wilmington,Delaware",-75.5341035,39.7606017,100030002006019
127175,2014-04-20T00:00:00Z,Delaware,Wilmington,500 block of Clayton Street,0,1,N/A,"500 block of Clayton Street,Wilmington,Delaware",-75.56739069999999,39.7480306,100030023002000
130022,2014-04-21T00:00:00Z,Delaware,Dover,145 Haman Dr,0,0,N/A,"145 Haman Dr,Dover,Delaware",-75.5409986,39.1359423,100010415001027
130009,2014-04-22T00:00:00Z,Delaware,New Castle,3100 block of New Castle Ave,1,0,N/A,"3100 block of New Castle Ave,New Castle,Delaware",-75.5492357,39.7078558,100030155021021
129920,2014-04-24T00:00:00Z,Delaware,Dover,12th and Melrose,1,0,N/A,"12th and Melrose,Dover,Delaware",-75.5246209,39.1581479,100010413002010
129277,2014-04-25T00:00:00Z,Delaware,Wilmington,3100 New  Castle,1,0,N/A,"3100 New  Castle,Wilmington,Delaware",-75.5492357,39.7078558,100030155021021
129996,2014-04-27T00:00:00Z,Delaware,Wilmington,2700 block of Lancaster Avenue,0,1,N/A,"2700 block of Lancaster Avenue,Wilmington,Delaware",-75.5825462,39.74985840000001,100030122001002
130000,2014-04-27T00:00:00Z,Delaware,Elsmere,2110 Kirkwood Highway,0,0,N/A,"2110 Kirkwood Highway,Elsmere,Delaware",-75.6098045,39.737956,100030124004005
131789,2014-04-28T00:00:00Z,Delaware,Lewes,33000 block of Camilla Drive,0,0,N/A,"33000 block of Camilla Drive,Lewes,Delaware",-75.1607319,38.7039488,100050510151014
131018,2014-04-30T00:00:00Z,Delaware,Dover,700 block of North West Street,0,0,N/A,"700 block of North West Street,Dover,Delaware",-75.5369486,39.1702155,100010433003005
131865,2014-04-30T00:00:00Z,Delaware,Wilmington,Sherman and Lombard Streets,0,0,N/A,"Sherman and Lombard Streets,Wilmington,Delaware",-75.54425359999999,39.7408372,100030029004007
131863,2014-05-01T00:00:00Z,Delaware,Wilmington,East 24th and Market Streets,1,0,N/A,"East 24th and Market Streets,Wilmington,Delaware",-75.54844299999999,39.744398,100030028001069
131867,2014-05-01T00:00:00Z,Delaware,Wilmington,200 block of North Rodney Street,0,0,N/A,"200 block of North Rodney Street,Wilmington,Delaware",-75.5675954,39.7452958,100030023001007
133508,2014-05-01T00:00:00Z,Delaware,Seaford,24000 Jewell St,0,0,N/A,"24000 Jewell St,Seaford,Delaware",-75.545664,38.6487913,100050504081005
131856,2014-05-04T00:00:00Z,Delaware,Newark,15 Fox Hall,0,1,N/A,"15 Fox Hall,Newark,Delaware",-75.7029565,39.7163155,100030136113000
132483,2014-05-05T00:00:00Z,Delaware,Wilmington,400 block West 25th Street,0,1,N/A,"400 block West 25th Street,Wilmington,Delaware",-75.53997509999999,39.7579137,100030003002006
132827,2014-05-06T00:00:00Z,Delaware,Wilmington,1000 block of South Market Street,0,1,N/A,"1000 block of South Market Street,Wilmington,Delaware",-75.5551902,39.7228685,100030154001001
132831,2014-05-06T00:00:00Z,Delaware,Dover,1210 White Oak Road,0,0,N/A,"1210 White Oak Road,Dover,Delaware",-75.507032,39.171328,100010410001021
132836,2014-05-06T00:00:00Z,Delaware,Dover,1019 Walker Road,0,0,N/A,"1019 Walker Road,Dover,Delaware",-75.5474578,39.1702787,100010407002001
134130,2014-05-08T00:00:00Z,Delaware,Wilmington,East 10th and North Spruce Streets,1,0,N/A,"East 10th and North Spruce Streets,Wilmington,Delaware",-75.5404357,39.74251350000001,100030009001012
134135,2014-05-08T00:00:00Z,Delaware,Wilmington,1600 block of West Fifth Street,0,1,N/A,"1600 block of West Fifth Street,Wilmington,Delaware",-75.5681639,39.748089,100030023002002
134140,2014-05-08T00:00:00Z,Delaware,Seaford,Sussex Avenue and Stein Highway,0,0,N/A,"Sussex Avenue and Stein Highway,Seaford,Delaware",-75.632910999999993,38.6448341,100050504052028
227394,2014-05-08T00:00:00Z,Delaware,Dover,6 W. Lebanon Road,0,0,N/A,"6 W. Lebanon Road,Dover,Delaware",-75.51620550000001,39.1173176,100010417021004
134128,2014-05-09T00:00:00Z,Delaware,New Castle,50 block of Chaddwyck Blvd,0,0,N/A,"50 block of Chaddwyck Blvd,New Castle,Delaware",-75.62633249999999,39.6349745,100030163082001
134927,2014-05-12T00:00:00Z,Delaware,Bear,200 block of Deep Creek Terrace,0,2,N/A,"200 block of Deep Creek Terrace,Bear,Delaware",-75.6612884,39.6508684,100030149071011
136554,2014-05-13T00:00:00Z,Delaware,Wilmington,300 block of Linden Street,0,0,N/A,"300 block of Linden Street,Wilmington,Delaware",-75.5708339,39.7425688,100030025001004
136811,2014-05-14T00:00:00Z,Delaware,Wilmington,610 East 17th Street,0,0,N/A,"610 East 17th Street,Wilmington,Delaware",-75.5372003,39.7488896,100030006022007
136841,2014-05-14T00:00:00Z,Delaware,Wilmington,1800 block of West Third Street,0,0,N/A,"1800 block of West Third Street,Wilmington,Delaware",-75.57127919999999,39.7476352,100030023003009
135215,2014-05-15T00:00:00Z,Delaware,Wilmington,400 Claymont Street,0,1,N/A,"400 Claymont Street,Wilmington,Delaware",-75.54165019999999,39.7295007,100030019021020
136820,2014-05-16T00:00:00Z,Delaware,Wilmington,500 block of North Broom Street,0,1,N/A,"500 block of North Broom Street,Wilmington,Delaware",-75.56500299999999,39.747058,100030022001004
136833,2014-05-17T00:00:00Z,Delaware,Dover,New Castle Avenue and East Water Street,0,1,N/A,"New Castle Avenue and East Water Street,Dover,Delaware",-75.5144286,39.1551865,100010413001012
136571,2014-05-18T00:00:00Z,Delaware,Dover,200 block of Presidents Drive,0,0,N/A,"200 block of Presidents Drive,Dover,Delaware",-75.5045963,39.1416847,100010412003015
136562,2014-05-19T00:00:00Z,Delaware,Selbyville,NA,2,0,N/A,"NA,Selbyville,Delaware",-75.2207437,38.4603917,100050514003046
136576,2014-05-19T00:00:00Z,Delaware,Harrington,2000 block of Bloomfield Drive,0,1,N/A,"2000 block of Bloomfield Drive,Harrington,Delaware",-75.4998635,38.9365536,100010429002021
139552,2014-05-22T00:00:00Z,Delaware,Wilmington,500 block of North Jefferson Street,1,0,N/A,"500 block of North Jefferson Street,Wilmington,Delaware",-75.5555768,39.7433308,100030021001003
140469,2014-05-25T00:00:00Z,Delaware,Dover,North New and Division Streets,0,1,N/A,"North New and Division Streets,Dover,Delaware",-75.5294936,39.160842100000004,100010414002001
140891,2014-05-26T00:00:00Z,Delaware,Camden,7000 block of Willow Grove Road,1,0,N/A,"7000 block of Willow Grove Road,Camden,Delaware",-75.5656037,39.1015704,100010417011046
